ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Hycc2"	chr1	-	58604926	58605113	58605015	58605113	58597135	58597216	0	0,0,3,0	0,5,10,9	0,1,0,0	16,54,2,12	237	149	1	1.0	NA,0.0,0.159,0.0	0.0,0.012,0.0,0.0	0.05
1	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74919201	74919318	1	0,0,1,0	2,3,4,1	0,3,0,0	6,5,5,3	179	149	0.764186116784	1.0	0.0,0.0,0.172,0.0	0.0,0.333,0.0,0.0	-0.04
2	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74920290	74920388	2	0,1,0,0	3,31,30,19	1,3,0,0	23,117,35,21	179	149	1	1.0	0.0,0.026,0.0,0.0	0.035,0.021,0.0,0.0	-0.008
3	"ENSMUSG00000022940"	"Pigp"	chr16	-	94171599	94171874	94171753	94171874	94170947	94171051	3	2,4,4,2	3,2,1,0	1,8,3,3	1,5,3,0	298	149	0.734275052298	1.0	0.25,0.5,0.667,1.0	0.333,0.444,0.333,1.0	0.077
5	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	122282858	122283090	122282980	122283090	122281944	122282098	5	0,0,2,2	128,227,253,88	1,7,4,2	229,759,191,190	270	149	1	1.0	0.0,0.0,0.004,0.012	0.002,0.005,0.011,0.006	-0.002
10	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75549286	75549465	75549373	75549465	75535746	75535929	10	21,28,27,11	1,4,2,1	21,98,32,25	1,20,1,3	235	149	0.202599932274	1.0	0.93,0.816,0.895,0.875	0.93,0.757,0.953,0.841	0.009
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38194180	38194739	38194180	38194598	38198016	38198578	11	661,941,1068,820	135,198,108,27	1057,3192,706,929	79,498,60,146	289	149	0.977225718524	1.0	0.716,0.71,0.836,0.94	0.873,0.768,0.858,0.766	-0.016
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127164746	127164884	127164746	127164852	127165367	127165812	13	3,6,13,5	23,20,47,24	5,13,7,5	31,86,19,34	180	149	0.424801352455	1.0	0.097,0.199,0.186,0.147	0.118,0.111,0.234,0.109	0.014
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125600071	125600248	125600071	125600218	125600957	125601087	17	242,401,497,399	8,16,2,8	573,1386,343,403	23,34,9,8	178	149	0.235530264641	1.0	0.962,0.955,0.995,0.977	0.954,0.972,0.97,0.977	0.004
18	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125614496	125614558	18	585,864,1032,912	1,2,2,4	1154,2920,691,855	0,4,1,0	298	149	1	1.0	0.997,0.995,0.996,0.991	1.0,0.997,0.997,1.0	-0.004
19	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100480500	100480604	100480504	100480604	100475807	100475881	19	0,0,0,0	10,23,18,32	5,4,0,0	19,65,28,28	152	149	0.0240984602768	0.438290860629	0.0,0.0,0.0,0.0	0.205,0.057,0.0,0.0	-0.066
20	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100490010	100490135	100490032	100490135	100489440	100489554	20	163,299,312,230	0,0,1,0	322,1165,238,272	0,1,1,0	170	149	1	1.0	1.0,1.0,0.996,1.0	1.0,0.999,0.995,1.0	0.0
22	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312916	89313030	89312336	89312432	22	113,220,205,134	0,0,0,0	264,890,154,151	0,2,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.996,1.0,1.0	0.001
23	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119175634	119173531	119173574	119176795	119176876	23	274,382,401,203	1,0,0,0	461,1261,299,366	2,0,0,0	298	149	1	1.0	0.993,1.0,1.0,1.0	0.991,1.0,1.0,1.0	0.0
25	"ENSMUSG00000019539"	"Rcn3"	chr7	-	44741519	44741645	44741528	44741645	44740864	44741112	25	4,24,25,11	8,18,12,11	30,63,11,29	6,34,4,11	157	149	0.0260957625482	0.440641762257	0.322,0.559,0.664,0.487	0.826,0.637,0.723,0.714	-0.217
26	"ENSMUSG00000020486"	"Septin4"	chr11	+	87479543	87479911	87479543	87479678	87480000	87480102	26	89,103,168,95	3,12,16,5	163,415,87,171	3,26,6,11	298	149	0.19493400349	1.0	0.937,0.811,0.84,0.905	0.964,0.889,0.879,0.886	-0.031
28	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	28	3,11,4,8	0,0,2,0	18,35,13,5	0,1,1,0	154	149	1	1.0	1.0,1.0,0.659,1.0	1.0,0.971,0.926,1.0	-0.06
31	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35982117	35982249	35982121	35982249	35981757	35981854	31	35,27,44,17	0,0,0,1	49,158,37,57	1,2,1,0	152	149	1	1.0	1.0,1.0,1.0,0.943	0.98,0.987,0.973,1.0	0.001
33	"ENSMUSG00000027610"	"Gss"	chr2	-	155409612	155409807	155409702	155409807	155406679	155406869	33	4,4,7,16	0,0,0,0	15,26,9,8	0,0,0,2	238	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.715	0.071
35	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22926508	22926630	22926508	22926570	22927337	22927383	35	1,2,3,0	87,236,301,238	2,15,0,3	231,866,172,210	208	149	1	1.0	0.008,0.006,0.007,0.0	0.006,0.012,0.0,0.01	-0.002
36	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927337	22927601	22927337	22927383	22928734	22928903	36	19,43,40,51	0,0,0,0	43,133,33,36	0,1,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.985,1.0,1.0	0.004
37	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929329	22930013	22929329	22929473	22930252	22930342	37	1141,1715,2186,2045	0,0,1,2	2125,5900,1483,1756	0,3,1,4	298	149	1	1.0	1.0,1.0,0.999,0.998	1.0,0.999,0.999,0.995	0.001
38	"ENSMUSG00000041890"	"Git2"	chr5	-	114881791	114881941	114881836	114881941	114877093	114877342	38	6,25,36,24	1,2,0,0	46,136,35,37	5,8,2,4	193	149	0.00138931681111	0.073241157977	0.822,0.906,1.0,1.0	0.877,0.929,0.931,0.877	0.028
39	"ENSMUSG00000022510"	"Trp63"	chr16	+	25684824	25684961	25684824	25684949	25686916	25686999	39	0,1,4,2	1,0,2,1	0,5,1,1	1,3,0,3	160	149	0.0464258700652	0.58943840266	0.0,1.0,0.651,0.651	0.0,0.608,1.0,0.237	0.114
