N_unmapped	317726	317726	317726
N_multimapping	28266579	28266579	28266579
N_noFeature	4120404	86134378	5417407
N_ambiguous	4050538	225156	1159396
ENSMUSG00000104478	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000101231	0	0	0
ENSMUSG00000102135	0	0	0
ENSMUSG00000103282	0	0	0
ENSMUSG00000101097	0	0	0
ENSMUSG00000100764	3	0	3
ENSMUSG00000102534	0	0	0
ENSMUSG00000100831	0	0	0
ENSMUSG00000100884	0	0	0
ENSMUSG00000100635	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000100480	7	0	7
ENSMUSG00000089037	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00002076531	0	0	0
ENSMUSG00000100025	4	0	4
ENSMUSG00000051285	6510	3	6507
ENSMUSG00000098201	0	0	0
ENSMUSG00000103509	81	0	81
ENSMUSG00000048538	1	0	1
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	13	0	13
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	0	0	0
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	0
ENSMUSG00000103903	1	0	1
ENSMUSG00000103557	0	0	0
ENSMUSG00000026312	1	0	1
ENSMUSG00000100290	0	0	0
ENSMUSG00000100758	0	0	0
ENSMUSG00000099926	0	0	0
ENSMUSG00000039748	36	1	35
ENSMUSG00000118715	0	0	0
ENSMUSG00000104158	0	0	0
ENSMUSG00000103540	0	0	0
ENSMUSG00000057363	777	0	777
ENSMUSG00000047216	566	0	566
ENSMUSG00000102788	21	0	21
ENSMUSG00000102160	5	0	5
ENSMUSG00000101253	0	0	0
ENSMUSG00000101846	0	0	0
ENSMUSG00000090243	0	0	0
ENSMUSG00000100701	1	0	1
ENSMUSG00000100555	1	0	1
ENSMUSG00000101395	0	0	0
ENSMUSG00000102728	0	0	0
ENSMUSG00000088848	0	0	0
ENSMUSG00002075225	0	0	0
ENSMUSG00000038702	581	0	581
ENSMUSG00000101875	0	0	0
ENSMUSG00000099732	1	0	1
ENSMUSG00000101220	0	0	0
ENSMUSG00000100020	0	0	0
ENSMUSG00000101054	0	0	0
ENSMUSG00000088691	0	0	0
ENSMUSG00000099884	0	0	0
ENSMUSG00000100304	0	0	0
ENSMUSG00000101453	0	0	0
ENSMUSG00000102105	0	0	0
ENSMUSG00000099943	0	0	0
ENSMUSG00002075119	0	0	0
ENSMUSG00000097648	0	0	0
ENSMUSG00000101687	0	0	0
ENSMUSG00000100515	0	0	0
ENSMUSG00000055214	40	6	34
ENSMUSG00000078184	2	0	2
ENSMUSG00000104363	0	0	0
ENSMUSG00000103277	0	0	0
ENSMUSG00000104157	0	0	0
ENSMUSG00000102446	0	0	0
ENSMUSG00000104248	0	0	0
ENSMUSG00000104021	0	0	0
ENSMUSG00000103471	0	0	0
ENSMUSG00000087875	0	0	0
ENSMUSG00000033007	3	1	3
ENSMUSG00000070695	1	0	1
ENSMUSG00000025909	6	0	6
ENSMUSG00002076179	0	0	0
ENSMUSG00000102033	0	0	0
ENSMUSG00000102647	0	0	0
ENSMUSG00000086235	0	0	0
ENSMUSG00000102253	0	0	0
ENSMUSG00002074990	0	0	0
ENSMUSG00000094429	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	0	0	0
ENSMUSG00000103933	0	0	0
ENSMUSG00002075967	0	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	0	0	0
ENSMUSG00000102316	1	1	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	0	0	0
ENSMUSG00000104428	1	0	1
ENSMUSG00000102272	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	9	0	9
ENSMUSG00000061024	1151	4	1147
ENSMUSG00000102030	2	2	0
ENSMUSG00000025911	4697	68	5478
ENSMUSG00000081441	14	0	14
ENSMUSG00000067879	15	27	1
ENSMUSG00000099827	0	0	0
ENSMUSG00000057335	2037	1	2104
ENSMUSG00000103634	1	0	1
ENSMUSG00000104154	6	0	6
ENSMUSG00000103435	2	70	0
ENSMUSG00000065573	0	0	0
ENSMUSG00002076271	0	0	0
ENSMUSG00000100551	30	0	30
ENSMUSG00000100357	0	0	0
ENSMUSG00000025912	87	0	87
ENSMUSG00000045210	1747	0	1881
ENSMUSG00000041763	5077	11	5078
ENSMUSG00000026504	677	138	597
ENSMUSG00000103367	0	18	1
ENSMUSG00000103584	0	0	0
ENSMUSG00002076339	0	0	0
ENSMUSG00000102475	0	0	0
ENSMUSG00000047343	4	1	3
ENSMUSG00000102211	2	0	2
ENSMUSG00000087082	4	3	1
ENSMUSG00000090106	0	0	0
ENSMUSG00000103251	4	1	3
ENSMUSG00000091844	7	1	6
ENSMUSG00000026483	2723	3	2720
ENSMUSG00000082528	0	0	0
ENSMUSG00000082012	3	0	3
ENSMUSG00000099996	2	1	1
ENSMUSG00000101763	0	0	0
ENSMUSG00000100827	0	0	0
ENSMUSG00000100553	3	0	3
ENSMUSG00000098611	0	0	0
ENSMUSG00000100534	2	0	2
ENSMUSG00000102904	0	0	0
ENSMUSG00002076350	0	0	0
ENSMUSG00000019699	2316	47	2327
ENSMUSG00000104391	14	0	14
