ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396026	118396047	118394624	118394735	0	31,36,18,21	963,917,946,726	15,8,16,34	709,427,803,1222	199	149	0.107625018633	0.919001656112	0.024,0.029,0.014,0.021	0.016,0.014,0.015,0.02	0.006
1	"ENSMUSG00000051705"	"Senp8"	chr9	-	59647222	59647334	59647222	59647315	59657544	59657654	1	1,0,1,0	0,0,0,2	0,0,0,0	2,0,1,2	167	149	1	1.0	1.0,NA,1.0,0.0	0.0,NA,0.0,0.0	0.667
2	"ENSMUSG00000038534"	"Osbpl7"	chr11	+	96943311	96943437	96943352	96943437	96943050	96943202	2	14,10,16,7	0,0,0,0	7,5,8,13	0,0,0,1	189	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.911	0.022
3	"ENSMUSG00000041064"	"Pif1"	chr9	+	65498968	65499141	65499001	65499141	65497229	65497336	3	0,2,0,0	1,0,0,2	0,0,0,0	1,0,1,0	181	149	1	1.0	0.0,1.0,NA,0.0	0.0,NA,0.0,NA	0.333
5	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	5	46,34,47,20	338,238,262,218	16,6,19,27	156,126,186,357	298	149	0.00125985498105	0.105679600175	0.064,0.067,0.082,0.044	0.049,0.023,0.049,0.036	0.025
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120604518	120604564	7	52,33,31,31	35,19,34,29	22,16,30,40	18,14,20,29	287	149	0.797227497174	1.0	0.435,0.474,0.321,0.357	0.388,0.372,0.438,0.417	-0.007
8	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57009762	57009890	57003717	57003789	8	152,164,116,125	5,5,3,2	113,56,105,143	2,1,2,3	298	149	0.237595136613	1.0	0.938,0.943,0.951,0.969	0.966,0.966,0.963,0.96	-0.014
9	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36620948	36621206	36620948	36621064	36628376	36628522	9	4,4,3,0	2,0,2,3	3,7,8,8	0,0,4,3	290	149	0.109755062672	0.925103496321	0.507,1.0,0.435,0.0	1.0,1.0,0.507,0.578	-0.286
13	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645799	144646074	144645954	144646074	144645220	144645364	13	26,20,9,9	313,221,227,236	5,7,6,21	143,75,217,284	298	149	0.374616613978	1.0	0.04,0.043,0.019,0.019	0.017,0.045,0.014,0.036	0.002
14	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561092	75561238	75561092	75561219	75561382	75561589	14	33,48,38,41	3,5,3,0	24,23,26,42	5,2,3,2	167	149	0.376602767635	1.0	0.908,0.895,0.919,1.0	0.811,0.911,0.885,0.949	0.041
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561382	75561589	75561382	75561515	75562691	75562853	15	47,29,46,37	6,0,1,0	42,20,29,42	4,0,2,3	222	149	0.329164684408	1.0	0.84,1.0,0.969,1.0	0.876,1.0,0.907,0.904	0.03
16	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67300172	67300308	67300224	67300308	67291883	67292031	16	8,14,19,6	155,86,104,72	4,3,13,5	65,46,60,122	200	149	0.216883666457	1.0	0.037,0.108,0.12,0.058	0.044,0.046,0.139,0.03	0.016
17	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48404706	48404794	17	140,101,123,134	0,6,1,2	113,52,106,196	3,0,7,8	298	149	0.033479863658	0.568687583063	1.0,0.894,0.984,0.971	0.95,1.0,0.883,0.925	0.023
18	"ENSMUSG00000121485"	NA	chr13	-	12634654	12634783	12634654	12634779	12636246	12636396	18	39,42,58,39	2,2,2,0	29,18,23,47	0,2,4,6	152	149	0.0196821690447	0.437471782523	0.95,0.954,0.966,1.0	1.0,0.898,0.849,0.885	0.06
20	"ENSMUSG00000079334"	"Naa80"	chr9	+	107460015	107460718	107460334	107460718	107456298	107458134	20	74,51,48,57	0,1,0,0	53,37,36,90	0,0,0,0	298	149	1	1.0	1.0,0.962,1.0,1.0	1.0,1.0,1.0,1.0	-0.01
21	"ENSMUSG00000059743"	"Fdps"	chr3	-	89001758	89001884	89001758	89001836	89002166	89002239	21	0,1,0,1	137,104,79,133	0,1,0,0	70,82,100,168	196	149	1	1.0	0.0,0.007,0.0,0.006	0.0,0.009,0.0,0.0	0.001
24	"ENSMUSG00000065999"	"Zfp985"	chr4	+	147661481	147661586	147661528	147661586	147647371	147647415	24	2,2,1,0	10,8,2,0	2,5,3,2	1,3,1,1	195	149	1	1.0	0.133,0.16,0.276,NA	0.604,0.56,0.696,0.604	-0.426
25	"ENSMUSG00000030795"	"Fus"	chr7	+	127571009	127571154	127571012	127571154	127568888	127569043	25	738,618,686,612	363,303,306,269	515,347,561,1050	227,130,287,459	151	149	0.545560747605	1.0	0.667,0.668,0.689,0.692	0.691,0.725,0.659,0.693	-0.013
26	"ENSMUSG00000022617"	"Chkb"	chr15	-	89311526	89311630	89311526	89311602	89311763	89311872	26	462,368,386,382	65,60,52,52	331,202,379,615	47,29,42,67	176	149	0.209070974667	1.0	0.857,0.839,0.863,0.861	0.856,0.855,0.884,0.886	-0.015
27	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89312432	89312336	89312396	89312613	89312747	27	510,461,518,451	0,0,5,1	387,220,442,692	0,0,0,1	184	149	1	1.0	1.0,1.0,0.988,0.997	1.0,1.0,1.0,0.998	-0.003
28	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89312781	89312613	89312747	89312916	89313030	28	28,39,26,37	125,104,102,98	31,18,24,55	68,54,106,118	182	149	0.286697326527	1.0	0.155,0.235,0.173,0.236	0.272,0.214,0.156,0.276	-0.03
30	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119175634	119175535	119175634	119173238	119173318	30	499,395,435,377	0,2,1,0	285,228,343,522	1,0,4,2	298	149	1	1.0	1.0,0.99,0.995,1.0	0.993,1.0,0.977,0.992	0.006
31	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119177646	119177837	119177651	119177837	119176795	119176876	31	534,494,436,430	1,0,0,0	322,213,393,538	1,0,0,4	153	149	1	1.0	0.998,1.0,1.0,1.0	0.997,1.0,1.0,0.992	0.002
32	"ENSMUSG00000020486"	"Septin4"	chr11	+	87480781	87480881	87480834	87480881	87480481	87480644	32	403,249,269,327	50,43,34,35	226,129,203,380	21,12,15,52	201	149	0.13182965993	0.989184123239	0.857,0.811,0.854,0.874	0.889,0.889,0.909,0.844	-0.034
33	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254803	89254878	89254806	89254878	89254597	89254691	33	83,66,63,76	425,371,384,348	42,43,47,85	219,182,277,439	151	149	0.812007396892	1.0	0.162,0.149,0.139,0.177	0.159,0.189,0.143,0.16	-0.006
35	"ENSMUSG00000036955"	"Kifbp"	chr10	-	62399014	62399287	62399014	62399130	62401815	62401900	35	0,0,0,1	185,185,198,207	0,0,0,1	128,89,145,277	298	149	1	1.0	0.0,0.0,0.0,0.002	0.0,0.0,0.0,0.002	0.0
38	"ENSMUSG00000022195"	"6030458C11Rik"	chr15	-	12817943	12818370	12817943	12818213	12821489	12821639	38	70,52,44,56	3,1,0,0	39,18,39,93	0,0,0,0	298	149	0.613066469396	1.0	0.921,0.963,1.0,1.0	1.0,1.0,1.0,1.0	-0.029
41	"ENSMUSG00000085795"	"Zfp703"	chr8	+	27468262	27468423	27468289	27468423	27467352	27467639	41	0,1,0,1	0,0,2,0	0,0,2,3	0,1,0,0	175	149	1	1.0	NA,1.0,0.0,1.0	NA,0.0,1.0,1.0	0.0
45	"ENSMUSG00000022679"	"Mpv17l"	chr16	+	13764392	13764451	13764421	13764451	13762529	13762600	45	1,2,1,0	8,10,14,21	0,0,0,1	7,7,11,15	177	149	0.932672420224	1.0	0.095,0.144,0.057,0.0	0.0,0.0,0.0,0.053	0.061
46	"ENSMUSG00000032199"	"Polr2m"	chr9	-	71390448	71391087	71390448	71390866	71392016	71392240	46	122,126,117,81	0,0,0,0	79,48,78,128	0,0,3,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.929,1.0	0.018
47	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927334	22927383	22927337	22927383	22926508	22926570	47	117,92,102,87	394,273,329,295	84,57,85,160	224,146,282,413	151	149	0.153756832217	1.0	0.227,0.25,0.234,0.225	0.27,0.278,0.229,0.277	-0.03
48	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927334	22927383	22927337	22927383	22926520	22926630	48	13,11,8,11	0,1,1,2	22,8,13,19	2,3,1,4	151	149	0.0424593206971	0.622940661079	1.0,0.916,0.888,0.844	0.916,0.725,0.928,0.824	0.064
