ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Hycc2"	chr1	-	58604926	58605113	58605015	58605113	58597135	58597216	0	0,0,1,1	9,4,15,14	0,1,0,0	16,54,2,12	237	149	1	1.0	0.0,0.0,0.04,0.043	0.0,0.012,0.0,0.0	0.018
1	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74919201	74919318	1	0,0,0,0	4,2,2,12	0,3,0,0	6,5,5,3	179	149	0.7593734015	1.0	0.0,0.0,0.0,0.0	0.0,0.333,0.0,0.0	-0.083
2	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74920290	74920388	2	0,1,0,1	24,16,28,36	1,3,0,0	23,117,35,21	179	149	1	1.0	0.0,0.049,0.0,0.023	0.035,0.021,0.0,0.0	0.004
3	"ENSMUSG00000022940"	"Pigp"	chr16	-	94171599	94171874	94171753	94171874	94170947	94171051	3	3,0,6,7	2,6,1,0	1,8,3,3	1,5,3,0	298	149	0.917198898335	1.0	0.429,0.0,0.75,1.0	0.333,0.444,0.333,1.0	0.017
5	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	122282858	122283090	122282980	122283090	122281944	122282098	5	1,4,0,9	193,143,254,290	1,7,4,2	229,759,191,190	270	149	1	1.0	0.003,0.015,0.0,0.017	0.002,0.005,0.011,0.006	0.003
10	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75549286	75549465	75549373	75549465	75535746	75535929	10	53,31,37,46	8,3,1,5	21,98,32,25	1,20,1,3	235	149	0.466693023268	1.0	0.808,0.868,0.959,0.854	0.93,0.757,0.953,0.841	0.002
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38194180	38194739	38194180	38194598	38198016	38198578	11	1242,763,1222,1979	126,102,159,96	1057,3192,706,929	79,498,60,146	289	149	0.134348327887	0.969171752618	0.836,0.794,0.798,0.914	0.873,0.768,0.858,0.766	0.019
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127164746	127164884	127164746	127164852	127165367	127165812	13	1,4,2,2	16,10,22,28	5,13,7,5	31,86,19,34	180	149	0.103783225771	0.861897800991	0.049,0.249,0.07,0.056	0.118,0.111,0.234,0.109	-0.037
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125600071	125600248	125600071	125600218	125600957	125601087	17	502,318,514,830	17,6,11,28	573,1386,343,403	23,34,9,8	178	149	0.894914470847	1.0	0.961,0.978,0.975,0.961	0.954,0.972,0.97,0.977	0.001
18	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125614496	125614558	18	1115,640,1031,1849	1,1,5,1	1154,2920,691,855	0,4,1,0	298	149	1	1.0	0.998,0.997,0.99,0.999	1.0,0.997,0.997,1.0	-0.002
