ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Hycc2"	chr1	-	58604926	58605113	58605015	58605113	58597135	58597216	0	6,1,0,1	18,11,18,8	0,1,0,0	16,54,2,12	237	149	0.0194367790171	0.407694405777	0.173,0.054,0.0,0.073	0.0,0.012,0.0,0.0	0.072
1	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74919201	74919318	1	0,3,0,0	5,10,4,5	0,3,0,0	6,5,5,3	179	149	0.76127397247	1.0	0.0,0.2,0.0,0.0	0.0,0.333,0.0,0.0	-0.033
2	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74920290	74920388	2	0,1,2,1	37,35,33,41	1,3,0,0	23,117,35,21	179	149	1	1.0	0.0,0.023,0.048,0.02	0.035,0.021,0.0,0.0	0.009
3	"ENSMUSG00000022940"	"Pigp"	chr16	-	94171599	94171874	94171753	94171874	94170947	94171051	3	12,4,15,7	2,0,4,3	1,8,3,3	1,5,3,0	298	149	0.206837200475	1.0	0.75,1.0,0.652,0.538	0.333,0.444,0.333,1.0	0.208
4	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100949805	100950014	100949972	100950014	100949155	100949313	4	160,127,108,147	1,0,0,2	160,356,83,98	0,0,0,0	298	149	1	1.0	0.988,1.0,1.0,0.974	1.0,1.0,1.0,1.0	-0.01
5	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	122282858	122283090	122282980	122283090	122281944	122282098	5	3,6,5,0	342,267,283,250	1,7,4,2	229,759,191,190	270	149	1	1.0	0.005,0.012,0.01,0.0	0.002,0.005,0.011,0.006	0.001
10	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75549286	75549465	75549373	75549465	75535746	75535929	10	33,38,27,29	2,4,7,1	21,98,32,25	1,20,1,3	235	149	0.534455498875	1.0	0.913,0.858,0.71,0.948	0.93,0.757,0.953,0.841	-0.013
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38194180	38194739	38194180	38194598	38198016	38198578	11	1627,1553,1394,1286	251,188,141,159	1057,3192,706,929	79,498,60,146	289	149	0.556484224609	1.0	0.77,0.81,0.836,0.807	0.873,0.768,0.858,0.766	-0.011
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127164746	127164884	127164746	127164852	127165367	127165812	13	1,4,1,4	36,14,29,34	5,13,7,5	31,86,19,34	180	149	0.0221296212971	0.426580681115	0.022,0.191,0.028,0.089	0.118,0.111,0.234,0.109	-0.06
16	"ENSMUSG00000091475"	"Cerox1"	chr17	+	25792959	25793118	25792959	25793107	25793220	25793506	16	1,0,0,0	1,1,0,0	0,0,0,0	0,0,1,0	159	149	1	1.0	0.484,0.0,NA,NA	NA,NA,0.0,NA	0.242
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125600071	125600248	125600071	125600218	125600957	125601087	17	634,599,609,620	29,18,22,15	573,1386,343,403	23,34,9,8	178	149	0.228365528642	1.0	0.948,0.965,0.959,0.972	0.954,0.972,0.97,0.977	-0.007
18	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125614496	125614558	18	1322,1139,1280,1232	0,3,0,3	1154,2920,691,855	0,4,1,0	298	149	1	1.0	1.0,0.995,1.0,0.995	1.0,0.997,0.997,1.0	-0.001
19	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100480500	100480604	100480504	100480604	100475807	100475881	19	0,1,0,0	29,23,23,34	5,4,0,0	19,65,28,28	152	149	0.0236318794483	0.444661614031	0.0,0.041,0.0,0.0	0.205,0.057,0.0,0.0	-0.055
20	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100490010	100490135	100490032	100490135	100489440	100489554	20	449,384,400,343	0,0,1,0	322,1165,238,272	0,1,1,0	170	149	1	1.0	1.0,1.0,0.997,1.0	1.0,0.999,0.995,1.0	0.001
22	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312916	89313030	89312336	89312432	22	399,342,395,349	2,0,0,0	264,890,154,151	0,2,0,0	298	149	1	1.0	0.99,1.0,1.0,1.0	1.0,0.996,1.0,1.0	-0.001
23	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119175634	119173531	119173574	119176795	119176876	23	617,506,481,446	0,0,0,0	461,1261,299,366	2,0,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	0.991,1.0,1.0,1.0	0.002
25	"ENSMUSG00000019539"	"Rcn3"	chr7	-	44741519	44741645	44741528	44741645	44740864	44741112	25	38,29,28,23	11,10,14,21	30,63,11,29	6,34,4,11	157	149	0.514188498179	1.0	0.766,0.733,0.655,0.51	0.826,0.637,0.723,0.714	-0.059
26	"ENSMUSG00000020486"	"Septin4"	chr11	+	87479543	87479911	87479543	87479678	87480000	87480102	26	258,203,188,244	24,11,13,10	163,415,87,171	3,26,6,11	298	149	0.401540554069	1.0	0.843,0.902,0.879,0.924	0.964,0.889,0.879,0.886	-0.018
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254597	89254878	89254597	89254691	89254955	89255011	28	321,301,284,259	0,0,0,1	191,724,136,218	0,0,0,0	298	149	1	1.0	1.0,1.0,1.0,0.992	1.0,1.0,1.0,1.0	-0.002
29	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	29	34,16,18,18	6,4,0,1	18,35,13,5	0,1,1,0	154	149	1	1.0	0.846,0.795,1.0,0.946	1.0,0.971,0.926,1.0	-0.078
32	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35982117	35982249	35982121	35982249	35981757	35981854	32	89,45,70,39	2,4,3,2	49,158,37,57	1,2,1,0	152	149	0.0204104228878	0.407736089402	0.978,0.917,0.958,0.95	0.98,0.987,0.973,1.0	-0.034
34	"ENSMUSG00000027610"	"Gss"	chr2	-	155409612	155409807	155409702	155409807	155406679	155406869	34	24,12,20,21	0,0,0,0	15,26,9,8	0,0,0,2	238	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.715	0.071
35	"ENSMUSG00000027610"	"Gss"	chr2	-	155409612	155409807	155409702	155409807	155408722	155408804	35	84,46,52,54	0,4,0,0	37,105,34,47	0,0,0,0	238	149	1	1.0	1.0,0.878,1.0,1.0	1.0,1.0,1.0,1.0	-0.03
36	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22926508	22926630	22926508	22926570	22927337	22927383	36	0,1,1,2	394,273,329,295	2,15,0,3	231,866,172,210	208	149	1	1.0	0.0,0.003,0.002,0.005	0.006,0.012,0.0,0.01	-0.005
37	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927337	22927601	22927337	22927383	22928734	22928903	37	60,41,48,53	0,0,0,1	43,133,33,36	0,1,0,0	298	149	1	1.0	1.0,1.0,1.0,0.964	1.0,0.985,1.0,1.0	-0.005
38	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929329	22930013	22929329	22929473	22930252	22930342	38	2735,2122,2106,2388	3,0,0,0	2125,5900,1483,1756	0,3,1,4	298	149	1	1.0	0.998,1.0,1.0,1.0	1.0,0.999,0.999,0.995	0.001
39	"ENSMUSG00000041890"	"Git2"	chr5	-	114881791	114881941	114881836	114881941	114877093	114877342	39	73,64,69,72	5,8,2,2	46,136,35,37	5,8,2,4	193	149	0.592071363363	1.0	0.919,0.861,0.964,0.965	0.877,0.929,0.931,0.877	0.024
40	"ENSMUSG00000022510"	"Trp63"	chr16	+	25684824	25684961	25684824	25684949	25686916	25686999	40	4,2,2,1	1,2,1,2	0,5,1,1	1,3,0,3	160	149	0.272912038073	1.0	0.788,0.482,0.651,0.318	0.0,0.608,1.0,0.237	0.098
41	"ENSMUSG00000035845"	"Alg12"	chr15	-	88698631	88698851	88698656	88698851	88690760	88690924	41	1,1,1,0	3,1,0,1	1,3,1,0	0,4,0,1	173	149	0.0169940663798	0.398970787761	0.223,0.463,1.0,0.0	1.0,0.392,1.0,0.0	-0.176
43	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58004487	58004699	58004509	58004699	58002226	58002420	43	16,11,8,6	3,0,0,4	4,9,5,4	3,1,0,4	170	149	0.291678643539	1.0	0.824,1.0,1.0,0.568	0.539,0.887,1.0,0.467	0.125
44	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44197303	44197495	44197303	44197419	44197964	44198051	44	11,4,7,2	79,60,62,86	11,16,5,7	51,152,27,16	224	149	0.0118653203002	0.329993532498	0.085,0.042,0.07,0.015	0.125,0.065,0.11,0.225	-0.078
45	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44200136	44200269	44200136	44200197	44200969	44201113	45	8,1,3,4	66,46,31,45	2,3,0,1	43,123,20,34	220	149	0.00351630156311	0.157863433333	0.076,0.015,0.062,0.057	0.031,0.016,0.0,0.02	0.036
46	"ENSMUSG00000002885"	"Adgre5"	chr8	-	84460924	84460981	84460930	84460981	84460637	84460754	46	149,116,108,100	14,12,9,14	57,226,49,48	9,31,4,8	154	149	0.233017024956	1.0	0.911,0.903,0.921,0.874	0.86,0.876,0.922,0.853	0.025
47	"ENSMUSG00000042328"	"Hps4"	chr5	+	112490960	112491029	112490960	112490988	112492406	112492914	47	0,0,0,0	1,0,1,1	0,6,0,1	0,2,0,0	189	149	1	1.0	0.0,NA,0.0,0.0	NA,0.703,NA,1.0	-0.851
49	"ENSMUSG00000052395"	"Rft1"	chr14	+	30398806	30398864	30398806	30398857	30399643	30399774	49	12,14,9,8	41,33,23,48	8,32,10,10	37,75,17,19	155	149	0.253045520004	1.0	0.22,0.29,0.273,0.138	0.172,0.291,0.361,0.336	-0.06
50	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107647750	107648158	107648083	107648158	107646759	107646825	50	1,0,0,4	154,103,91,106	1,5,0,0	86,255,79,63	298	149	1	1.0	0.003,0.0,0.0,0.019	0.006,0.01,0.0,0.0	0.001
51	"ENSMUSG00000079197"	"Psme2"	chr14	-	55825110	55825551	55825496	55825551	55824903	55825022	51	533,424,394,433	1,0,0,0	292,1019,229,258	0,0,0,0	298	149	1	1.0	0.996,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.001
52	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26262742	26262837	26262770	26262837	26260844	26260892	52	28,9,8,10	8,5,11,12	16,32,7,4	6,25,6,6	176	149	0.909544864174	1.0	0.748,0.604,0.381,0.414	0.693,0.52,0.497,0.361	0.019
53	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26268461	26268648	26268505	26268648	26268032	26268079	53	0,0,1,0	22,13,11,17	0,0,0,0	17,45,11,16	192	149	1	1.0	0.0,0.0,0.066,0.0	0.0,0.0,0.0,0.0	0.017
54	"ENSMUSG00000001604"	"Tcea3"	chr4	+	135981775	135981953	135981775	135981881	135982460	135982599	54	78,48,56,70	932,692,829,819	48,146,19,47	554,2290,414,472	220	149	0.567195026177	1.0	0.054,0.045,0.044,0.055	0.055,0.041,0.03,0.063	0.002
55	"ENSMUSG00000060568"	"Fam78b"	chr1	+	166906105	166907354	166906105	166907034	166915546	166918871	55	0,0,0,0	4,12,1,1	1,0,0,0	4,2,2,5	298	149	1	1.0	0.0,0.0,0.0,0.0	0.111,0.0,0.0,0.0	-0.028
